"139,144,78"	"96,110,59"
"142,147,81"	"97,111,60"
"181,169,119"	"246,255,208"
"190,178,128"	"249,255,211"
"217,203,156"	"244,255,206"
"187,153,118"	"181,191,141"
"191,157,122"	"175,185,135"
"181,147,112"	"177,185,136"
"204,181,139"	"239,248,195"
"199,176,134"	"221,231,179"
"180,157,115"	"190,200,148"
"169,182,113"	"141,154,110"
"167,180,111"	"148,161,117"
"167,180,111"	"166,179,135"
"127,143,81"	"194,209,166"
"127,143,81"	"193,208,165"
"127,143,81"	"191,204,161"
"171,170,90"	"228,246,196"
"168,167,87"	"233,251,201"
"164,165,85"	"232,250,200"
"156,165,84"	"147,169,130"
"151,160,79"	"147,169,131"
"149,158,77"	"149,171,133"
"139,153,76"	"209,231,193"
"138,152,75"	"177,199,161"
"137,151,74"	"167,189,151"
"172,190,106"	"244,255,228"
"169,187,103"	"244,255,228"
"168,186,102"	"241,255,225"
"161,179,61"	"159,184,144"
"162,180,62"	"152,177,137"
"167,185,67"	"151,176,136"
"132,149,78"	"205,226,185"
"129,146,75"	"165,188,146"
"125,143,69"	"171,193,154"
"230,231,165"	"137,168,111"
"241,242,176"	"139,170,113"
"243,244,178"	"140,171,114"
"161,155,93"	"224,240,193"
"148,142,80"	"149,165,118"
"138,132,70"	"87,103,54"
"177,184,107"	"153,179,134"
"178,185,108"	"160,183,139"
"175,181,109"	"168,191,145"
"190,151,96"	"190,203,157"
"185,146,91"	"190,203,157"
"180,143,88"	"189,202,156"
"112,125,46"	"232,252,203"
"103,116,37"	"208,228,179"
"111,124,45"	"169,192,140"
"112,125,46"	"181,205,157"
"103,116,37"	"224,248,198"
"111,124,45"	"236,255,210"
"141,146,66"	"187,196,153"
"144,149,69"	"193,202,159"
"135,140,60"	"229,240,197"
"118,150,74"	"160,178,136"
"118,150,74"	"172,190,148"
"116,148,72"	"186,204,162"
"139,175,77"	"152,158,110"
"137,173,75"	"159,161,114"
"137,173,73"	"168,167,123"
"126,174,98"	"234,234,182"
"129,175,100"	"236,236,184"
"129,175,100"	"243,243,191"
"140,175,83"	"230,248,206"
"138,173,81"	"236,254,212"
"142,178,88"	"239,255,215"
"181,220,141"	"186,217,175"
"181,220,141"	"193,221,180"
"176,217,138"	"170,198,157"
"125,164,83"	"186,208,159"
"120,159,78"	"185,207,158"
"119,158,77"	"184,206,157"
"183,213,125"	"135,164,106"
"182,212,124"	"139,168,112"
"182,215,124"	"149,178,122"
"128,162,76"	"177,197,110"
"129,163,77"	"176,196,111"
"130,164,77"	"175,195,110"
"175,212,116"	"150,174,50"
"172,209,114"	"155,179,55"
"171,208,113"	"161,185,61"
"161,193,94"	"183,207,113"
"162,194,95"	"183,207,113"
"161,193,92"	"184,208,114"
"148,173,79"	"133,161,61"
"146,171,79"	"133,161,59"
"146,171,79"	"134,162,59"
"171,199,114"	"142,172,72"
"159,187,102"	"140,170,70"
"155,183,98"	"139,169,69"
"132,175,83"	"222,236,148"
"132,173,81"	"222,236,148"
"133,174,82"	"224,238,150"
"156,187,120"	"133,156,76"
"155,186,119"	"126,149,69"
"153,184,117"	"128,151,71"
"192,162,108"	"114,146,71"
"191,161,107"	"115,147,72"
"180,150,96"	"117,147,73"
"136,158,85"	"85,106,27"
"137,159,84"	"84,105,26"
"139,161,86"	"89,110,31"
"168,197,104"	"218,209,154"
"167,199,102"	"214,207,152"
"168,200,103"	"217,210,155"
"169,206,129"	"156,182,72"
"169,206,129"	"157,183,73"
"170,207,130"	"157,184,71"
"137,181,83"	"219,235,146"
"138,182,84"	"220,236,147"
"138,182,84"	"221,237,149"
"178,214,140"	"221,231,144"
"180,217,140"	"226,239,151"
"180,217,140"	"224,237,149"
"136,180,85"	"199,224,133"
"137,181,86"	"188,213,122"
"137,181,86"	"151,176,85"
"143,176,61"	"187,202,109"
"146,179,66"	"162,177,84"
"146,179,66"	"161,176,83"
"145,179,93"	"127,152,71"
"146,179,92"	"110,135,54"
"146,179,92"	"96,119,39"
"179,215,141"	"136,150,53"
"177,213,139"	"135,149,52"
"175,211,137"	"133,147,50"
"145,178,91"	"117,144,63"
"154,184,98"	"115,142,61"
"148,178,92"	"112,139,58"
"158,170,108"	"137,165,65"
"162,172,111"	"148,176,76"
"162,174,112"	"160,187,90"
"168,190,125"	"163,188,97"
"166,188,123"	"159,184,93"
"162,184,119"	"158,183,92"
"186,207,150"	"130,155,71"
"187,208,151"	"130,155,71"
"183,207,149"	"132,157,73"
"162,181,117"	"130,142,40"
"161,180,116"	"145,160,57"
"162,181,117"	"172,187,86"
"153,156,101"	"174,186,114"
"155,158,103"	"171,183,111"
"153,156,101"	"171,183,111"
"182,190,141"	"249,255,172"
"180,188,139"	"245,255,170"
"181,191,141"	"244,255,169"
"164,175,106"	"178,202,128"
"165,176,107"	"171,195,121"
"166,177,108"	"147,171,97"
"213,197,146"	"205,218,172"
"204,188,136"	"206,219,173"
"198,185,132"	"208,221,175"
"174,193,137"	"159,180,115"
"175,194,138"	"159,180,115"
"175,194,138"	"162,183,118"
"175,197,125"	"210,230,181"
"177,199,127"	"227,247,198"
"176,198,126"	"222,242,193"
"165,173,132"	"106,130,94"
"165,173,134"	"113,137,101"
"160,168,129"	"113,137,101"
"158,177,111"	"168,183,118"
"158,177,111"	"164,179,114"
"158,177,111"	"161,176,111"
"177,189,123"	"225,230,189"
"174,186,120"	"226,231,190"
"174,186,120"	"228,233,192"
"156,167,107"	"154,171,127"
"155,166,106"	"141,158,114"
"155,166,106"	"136,153,109"
"158,167,122"	"139,157,109"
"154,166,120"	"135,153,105"
"150,162,116"	"127,145,97"
"140,145,91"	"118,134,97"
"142,147,93"	"117,133,96"
"138,146,89"	"117,135,97"
"173,182,119"	"151,176,134"
"172,181,116"	"152,177,135"
"177,186,119"	"140,165,123"
"138,154,89"	"162,184,120"
"146,162,97"	"164,186,122"
"134,150,85"	"164,186,122"
"179,177,128"	"69,85,36"
"127,125,76"	"149,165,116"
"157,155,106"	"206,222,173"
"191,211,152"	"133,151,103"
"190,210,151"	"124,141,96"
"189,209,150"	"122,139,94"
"169,189,130"	"142,161,115"
"168,188,129"	"144,163,117"
"168,188,129"	"141,160,114"
"170,182,120"	"155,171,124"
"169,181,119"	"123,139,92"
"167,179,117"	"130,146,99"
"181,191,141"	"96,113,61"
"181,191,141"	"100,114,63"
"185,193,144"	"100,114,63"
"171,194,142"	"238,255,200"
"170,193,141"	"240,255,202"
"171,194,142"	"242,255,204"
"173,183,133"	"183,193,143"
"171,181,131"	"178,188,138"
"175,183,134"	"186,194,145"
"151,166,101"	"223,232,179"
"151,166,101"	"204,214,161"
"156,168,102"	"188,201,148"
"166,178,132"	"144,157,113"
"169,181,135"	"140,153,109"
"167,179,133"	"145,158,114"
"178,188,138"	"190,205,162"
"193,203,153"	"188,203,160"
"204,214,164"	"190,203,160"
"159,175,104"	"225,243,193"
"157,173,102"	"223,241,191"
"158,174,103"	"232,250,200"
"180,190,121"	"145,167,128"
"177,187,118"	"144,166,128"
"178,187,120"	"147,169,131"
"169,157,119"	"222,244,206"
"162,150,112"	"204,226,188"
"160,148,110"	"170,192,154"
"194,181,139"	"244,255,228"
"194,181,139"	"244,255,228"
"195,182,140"	"244,255,228"
"177,184,130"	"159,184,144"
"183,190,136"	"155,180,140"
"183,190,136"	"153,178,138"
"192,222,136"	"186,207,166"
"194,222,137"	"172,195,153"
"195,223,138"	"176,201,161"
"88,115,22"	"141,172,115"
"88,115,22"	"141,172,115"
"90,117,24"	"142,173,116"
"82,106,18"	"227,243,194"
"84,108,20"	"188,204,155"
"84,107,19"	"169,185,136"
"97,128,58"	"157,180,134"
"105,136,66"	"163,186,140"
"108,139,69"	"191,214,168"
"118,149,73"	"177,188,145"
"111,142,66"	"181,192,149"
"107,138,62"	"183,194,151"
"62,91,7"	"190,210,161"
"61,90,6"	"173,193,144"
"58,87,3"	"140,162,113"
"129,155,81"	"175,199,151"
"129,155,81"	"198,222,174"
"140,166,92"	"210,234,186"
"157,195,110"	"189,198,155"
"157,195,108"	"189,198,155"
"156,194,107"	"227,238,195"
"150,183,92"	"164,182,140"
"153,186,95"	"173,191,149"
"155,188,97"	"196,214,172"
"95,133,56"	"154,160,112"
"99,137,62"	"161,163,116"
"100,138,63"	"172,171,127"
"164,186,103"	"183,183,131"
"165,187,104"	"221,221,169"
"165,187,104"	"233,233,181"
"112,134,49"	"234,252,210"
"113,133,48"	"230,248,206"
"109,129,44"	"235,253,211"
"104,126,43"	"183,214,172"
"102,124,39"	"202,230,189"
"102,124,39"	"189,217,176"
"119,150,83"	"181,203,154"
"116,147,80"	"181,203,154"
"118,149,82"	"182,204,155"
"145,164,59"	"142,171,113"
"143,162,57"	"142,171,115"
"149,168,61"	"146,175,119"
"90,112,37"	"175,195,108"
"104,126,51"	"176,196,111"
"116,140,64"	"175,195,110"
"166,183,112"	"154,178,54"
"162,179,108"	"161,185,61"
"172,190,116"	"166,190,66"
"162,157,93"	"184,208,114"
"162,159,92"	"184,208,114"
"166,163,96"	"184,208,114"
"136,143,63"	"129,157,57"
"134,141,61"	"129,157,55"
"130,137,57"	"131,159,57"
"183,166,114"	"145,175,75"
